"","ID","Mass","Wingspan","Area.inM.2."
"1","ODLAM-011",15.5,330,0.0118926997754041
"2","ODLAM-010",17.5,325,0.0126046291575265
"3","ODLAM-012",9,295,0.00958501846160886
"4","ODLAM-014",16.5,319,0.0106600386322136
"5","ODLAM-016",7.5,238,0.00510712335500098
"6","ODLAM-018",15.5,331,0.0111340286767358
"7","ODLAM-019",19,304,0.00918182178991091
"8","ODLAM-020",40,511,0.0244408663981727
"9","ODLAM-021",20.5,427,0.0168814643240432
"10","ODLAm-022",16.5,293,0.00584233207586935
